State_County,Edu_Less_than_HS_2017_21,Edu_HS_diploma_2017_21,Edu_Some_college_2017_21,Edu_Bachelor_or_higher_2017_21,Crime_Rate,Income_Mean,Race_Hispanic,Race_White,Race_Black,Race_Native,Race_Asian,Race_Pacific
PA_Fayette_County,11.0,47.9,23.3,17.9,231.1128231,41058.75,1.1,92.1,3.9,0.0,0.2,0.2
PA_Franklin_County,10.7,43.0,23.3,23.0,140.0532597,70323.0,5.3,88.6,3.8,0.2,1.0,0.0
PA_Greene_County,11.9,44.8,25.2,18.0,200.856282,53070.5,1.5,93.6,3.1,0.1,0.4,0.0
PA_Huntingdon_County,10.1,50.0,22.4,17.5,170.7007485,42621.0,1.9,90.9,5.0,0.1,0.5,0.0
PA_Lackawanna_County,8.4,36.1,26.0,29.4,231.8504565,83680.66666666667,6.7,86.6,2.6,0.1,2.5,0.0
PA_Lancaster_County,13.6,34.4,22.2,29.7,165.9743202,75592.0,10.0,82.7,3.6,0.1,2.1,0.0
PA_Lawrence_County,8.2,43.6,26.7,21.5,508.2108515,54192.0,1.3,92.0,3.5,0.1,0.5,0.0
PA_Lebanon_County,12.4,42.8,22.7,22.1,215.5204228,60958.333333333336,12.2,83.4,1.8,0.1,1.3,0.0
PA_Lehigh_County,10.3,32.2,26.1,31.5,259.65102,74783.25,22.8,66.5,5.4,0.1,3.3,0.0
PA_Luzerne_County,9.8,38.2,28.0,24.0,281.1595018,56806.2,10.1,83.8,3.5,0.1,1.2,0.0
PA_Lycoming_County,9.4,38.5,27.8,24.3,181.5783613,54365.0,1.9,90.7,4.8,0.1,0.6,0.0
PA_Mercer_County,9.9,41.8,25.2,23.1,223.9680542,51489.666666666664,1.4,90.3,5.7,0.1,0.7,0.0
PA_Mifflin_County,14.7,49.7,22.4,13.3,156.5985928,46662.666666666664,1.4,96.1,0.6,0.1,0.6,0.0
PA_Montgomery_County,5.3,22.8,21.1,50.7,171.7185146,89730.6,4.9,76.6,8.8,0.1,7.3,0.0
PA_Northampton_County,8.4,33.5,25.3,32.8,194.4688133,67859.4,12.4,77.9,4.7,0.1,2.8,0.0
PA_Northumberland_County,10.4,49.3,22.5,17.8,225.3497173,51175.0,3.2,93.0,2.5,0.2,0.3,0.0
PA_Perry_County,11.1,46.5,24.4,17.9,164.6108599,54378.0,1.8,95.8,0.9,0.2,0.4,0.0
PA_Pike_County,6.9,34.1,32.2,26.8,123.6945804,63150.5,10.3,81.1,5.7,0.1,1.2,0.0
PA_Schuylkill_County,10.6,45.3,26.3,17.8,204.192758,56460.5,3.8,91.7,2.6,0.1,0.5,0.0
PA_Snyder_County,13.5,43.7,21.2,21.6,255.8635394,44570.0,2.2,95.2,0.8,0.1,0.7,0.0
PA_Somerset_County,10.5,49.0,23.6,16.9,131.9916362,64181.0,1.4,94.6,2.6,0.1,0.4,0.0
PA_Susquehanna_County,9.5,46.3,24.8,19.4,127.7018399,51526.333333333336,1.7,96.4,0.6,0.2,0.4,0.0
PA_Tioga_County,9.0,44.0,26.3,20.7,113.0395874,50203.0,1.2,96.3,0.6,0.1,0.5,0.0
PA_Union_County,11.8,42.2,19.9,26.1,71.32190697,55012.0,5.7,84.4,6.2,0.5,1.7,0.0
PA_Venango_County,8.4,47.0,25.2,19.4,127.9982192,56456.2,1.1,96.1,0.9,0.0,0.4,0.0
PA_Warren_County,6.9,46.2,27.4,19.5,271.4932127,43979.0,1.0,97.0,0.5,0.1,0.5,0.0
PA_Washington_County,6.1,36.5,25.6,31.7,195.4794771,54629.333333333336,1.6,92.5,2.9,0.1,0.9,0.0
PA_Westmoreland_County,5.1,35.7,28.4,30.8,155.6132514,52980.875,1.1,94.1,2.3,0.0,0.9,0.0
PA_York_County,9.2,38.9,26.1,25.8,249.2226032,63998.666666666664,6.9,84.3,5.2,0.1,1.4,0.0
RI_Kent_County,7.5,28.6,31.0,32.9,123.6101433,72341.52830188679,4.4,89.5,1.3,0.1,2.5,0.0
RI_Providence_County,13.8,30.5,25.0,30.6,348.8705059,129181.0,21.6,62.2,8.0,0.4,4.1,0.1
RI_Washington_County,5.5,21.8,26.6,46.1,60.98575151,78237.5,3.0,91.3,1.3,0.8,1.9,0.1
SC_Abbeville_County,16.3,37.0,28.5,18.2,511.8566801,56507.667464114835,1.3,68.9,27.6,0.1,0.3,0.0
SC_Aiken_County,10.7,31.6,28.9,28.8,331.3517201,40744.5,5.5,66.7,24.5,0.2,1.0,0.0
SC_Anderson_County,14.2,30.5,30.6,24.7,600.0807801,43460.166666666664,3.5,77.6,16.0,0.2,0.9,0.0
SC_Beaufort_County,6.6,22.0,29.0,42.4,536.5518686,54434.0,11.3,67.4,18.1,0.2,1.2,0.1
SC_Charleston_County,7.1,21.0,25.2,46.7,402.3572772,79909.5,5.0,63.9,27.6,0.1,1.3,0.0
SC_Cherokee_County,16.7,37.5,31.3,14.6,313.1430616,34245.0,4.1,73.1,19.9,0.1,0.6,0.1
SC_Chesterfield_County,20.0,39.3,28.2,12.6,476.2213997,39204.0,4.2,60.8,32.0,0.4,0.5,0.1
SC_Colleton_County,14.0,42.5,27.2,16.2,762.1467132,57538.0,3.1,56.3,38.0,0.7,0.0,0.9
SC_Darlington_County,15.2,36.6,29.6,18.6,746.3016118,41837.0,1.9,55.0,40.7,0.3,0.4,0.0
SC_Dorchester_County,9.6,26.1,34.9,29.5,418.1654367,59196.0,5.0,64.6,25.3,0.4,1.9,0.0
SC_Fairfield_County,15.5,42.4,26.5,15.7,675.0616643,26366.0,2.0,37.4,54.9,0.3,0.3,0.0
SC_Greenville_County,10.3,23.2,28.5,37.9,577.3131534,84176.66666666667,8.8,69.0,18.0,0.2,2.2,0.1
SC_Greenwood_County,14.0,31.7,30.1,24.2,1140.226324,35798.0,5.8,60.1,31.2,0.0,0.9,0.0
SC_Hampton_County,18.5,44.1,26.4,11.0,622.3049784,45365.0,4.0,40.9,53.0,0.2,0.4,0.0
SC_Horry_County,8.9,32.8,33.7,24.5,617.6419817,46694.0,6.0,77.1,13.5,0.4,1.2,0.1
SC_Lancaster_County,12.1,28.0,29.8,30.0,504.6111014,39115.0,5.0,70.1,21.7,0.2,1.0,0.1
SC_Marion_County,19.6,47.6,20.5,12.3,941.6313295,36661.5,2.7,38.8,56.6,0.5,0.7,0.0
SC_Oconee_County,13.9,28.5,29.8,27.9,514.3580518,47525.0,5.1,84.8,7.1,0.2,0.7,0.0
SC_Orangeburg_County,15.7,31.7,33.6,19.0,414.5499329,30507.5,2.1,33.3,61.7,0.3,0.9,0.0
SC_Pickens_County,13.4,29.6,29.9,27.1,378.0387052,42158.0,3.5,86.1,6.5,0.2,1.8,0.1
SC_Richland_County,8.2,21.7,30.5,39.7,911.4452882,74099.0,5.0,43.3,46.2,0.1,2.7,0.1
SC_Sumter_County,11.9,31.7,34.0,22.4,767.644257,33122.0,3.8,45.7,46.9,0.3,1.2,0.0
SC_Union_County,17.2,38.1,31.1,13.6,567.2493757,29305.666666666668,1.4,65.1,30.9,0.1,0.0,0.0
SC_York_County,8.4,23.8,31.9,35.9,488.3795741,53488.0,5.1,71.2,18.9,0.6,1.9,0.1
SD_Aurora_County,10.0,37.6,34.1,18.3,0.0,61325.94382022472,6.7,88.8,1.6,2.3,0.0,0.0
SD_Beadle_County,14.2,33.7,28.1,23.9,237.8318584,78796.0,9.1,79.5,0.4,1.4,9.3,0.0
SD_Bon_Homme_County,11.4,33.4,32.4,22.8,0.0,58623.0,3.0,87.4,1.3,5.0,1.4,0.0
SD_Brookings_County,3.8,24.6,28.7,43.0,30.33244358,38213.666666666664,2.6,91.0,1.4,1.1,2.9,0.0
SD_Brule_County,12.0,34.9,28.6,24.6,204.9944092,41412.0,2.5,84.8,0.0,9.8,0.3,0.0
SD_Campbell_County,12.7,31.0,29.2,27.2,0.0,52192.0,0.1,97.2,0.0,1.0,0.0,0.0
SD_Charles_Mix_County,11.8,35.0,30.8,22.4,140.6774159,47052.0,3.1,63.3,0.1,29.9,0.2,0.1
SD_Corson_County,14.0,36.0,34.5,15.5,23.72479241,43615.0,0.7,29.3,0.5,67.4,0.2,0.0
SD_Dewey_County,16.6,36.5,29.8,17.1,35.8037952,49039.0,1.3,20.4,0.1,77.1,0.1,0.0
SD_Douglas_County,9.9,32.1,38.2,19.8,0.0,13534.0,0.6,94.9,0.0,2.7,0.0,0.0
SD_Faulk_County,8.4,30.1,36.2,25.3,41.91114837,50715.0,1.2,94.7,0.0,3.8,0.1,0.0
SD_Gregory_County,9.6,38.5,32.8,19.1,0.0,52682.0,1.5,88.4,0.0,7.0,0.5,0.0
SD_Hamlin_County,7.8,39.3,31.7,21.2,67.10283509,94107.0,3.7,94.5,0.2,0.7,0.2,0.0
SD_Hughes_County,3.7,29.4,32.3,34.5,342.7004798,66436.0,2.9,83.1,0.5,10.3,0.4,0.0
SD_Hutchinson_County,9.6,30.6,34.5,25.3,41.98740378,53000.0,1.9,95.1,0.4,1.4,0.2,0.0
SD_Lake_County,8.7,27.4,30.8,33.0,41.47656574,52999.0,2.3,93.8,0.6,0.0,1.9,0.0
SD_Lyman_County,8.9,33.9,31.4,25.8,0.0,61161.0,2.2,56.4,0.1,39.6,0.5,0.1
SD_McCook_County,8.7,35.8,29.7,25.7,53.05978069,57993.0,3.2,94.6,0.8,0.5,0.0,0.0
SD_McPherson_County,13.9,39.5,25.0,21.6,0.0,42499.0,2.2,89.8,0.1,6.6,0.6,0.0
